Account,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,104,1,4,643705.37,6189.474711538462,-395.0559780000001,75.82642488,-470.88240288,17,16.346153846153847,82.35294117647058,-23.238586941176475,22.28017,-0.7315185251289732
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,83,1,2,329588.6,3970.946987951807,6775.291988000001,17.13209714,6758.159890860001,44,53.01204819277109,100.0,153.98390881818185,67.10419300000001,20.504835090958853
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,3,1,1,18780.48,6260.16,1260.832586,1.31707394,1259.51551206,1,33.33333333333333,100.0,1260.832586,1260.832586,67.06513955234371
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,159,1,5,816051.26,5132.397861635221,12713.493131000001,92.84647,12620.646661,55,34.59119496855346,80.0,231.1544205636364,62.258511,15.465507229288514
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,1745,1,6,4170375.08,2389.899759312321,151292.732859,477.514178,150815.218681,607,34.78510028653295,85.33772652388797,249.2466768682043,48.48932,36.163466304090804
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,946,1,5,2042756.6,2159.362156448203,47610.460743999996,294.206364,47316.25438,354,37.315010570824526,81.92090395480226,134.49282696045196,5.823648,23.1629428488935
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1653,1,4,2908242.68,1759.3724621899578,-360101.898234,667.417642,-360769.31587600004,1290,78.0399274047187,70.07751937984497,-279.14875832093026,4.294954499999999,-124.05062285792465
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,98,1,4,206332.51,2105.433775510204,-19135.913281,47.40079792,-19183.31407892,35,35.714285714285715,14.285714285714285,-546.7403794571429,-49.060398,-92.97281402198809
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,49,1,2,289506.08,5908.287346938776,-4825.496358,101.327103,-4926.823461,25,51.02040816326531,40.0,-193.01985432,-22.430548,-17.01803105827691
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,55,1,3,100479.48,1826.8996363636363,258.41533,21.04712642,237.36820358,19,34.54545454545455,100.0,13.600806842105262,8.52404,2.3623550159694298
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1430,1,4,4130620.47,2888.5457832167835,12960.109958,740.3481309,12219.7618271,518,36.22377622377622,88.22393822393822,25.01951729343629,5.0937555,2.9583356582503932
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,297,1,4,7343356.08,24725.104646464646,57108.9113,2489.49220698,54619.419093020006,145,48.484848484848484,98.62068965517241,393.85456068965516,56.402392,7.437936891250411
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,80,1,4,135211.26,1690.14075,11.717676000000012,32.66765128,-20.949975279999983,7,8.75,28.57142857142857,1.673953714285716,-5.555256,-0.15494253422385074
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,539,1,36,738773.05,1370.6364564007422,1774.309786,214.616356,1559.69343,167,30.983302411873844,80.83832335329342,10.624609497005988,2.85735,2.111194270012963
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,1474,1,54,1182485.92,802.2292537313432,9299.484548,386.492636,8912.991912,584,39.687924016282224,82.53424657534246,15.923774910958905,5.360471499999999,7.537503627950175
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,2195,1,77,2053464.93,935.5193302961276,808.3427170000001,635.273437,173.06928,942,42.73348519362187,65.49893842887474,0.8581132876857751,1.63845,0.08428158546637561
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,6804,1,89,4577661.86,672.7898089359201,-24036.539128,1361.5405714,-25398.0796994,3366,49.441504997060555,40.25549613784908,-7.140980133095662,-3.790655,-5.54826469847644
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,3986,1,77,3752401.08,941.3951530356247,56071.411052999996,1194.62009507,54876.790957929996,1500,37.60662318113397,89.33333333333333,37.380940702,4.801365,14.624447064152854
