date,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
2024-05-07,Greed,18,3,4,108717.58,6039.865555555556,883.537693,38.039061,845.4986319999999,9,77.77777777777779,100.0,98.17085477777778,114.244335,7.7770185097939075
2024-05-08,Greed,13,2,3,65973.57,5074.89,1.56576,23.076826,-21.511066,2,15.384615384615385,50.0,0.78288,0.78288,-0.32605581295661273
2024-05-09,Greed,28,2,2,221966.12,7927.361428571428,1147.595856,77.688132,1069.9077240000001,11,50.0,100.0,104.32689599999999,28.27656,4.82013977628658
2024-05-10,Greed,22,1,1,156882.0,7131.0,2101.741695,54.90869,2046.833005,6,27.27272727272727,100.0,350.29028250000005,208.60580099999999,13.046958892670924
2024-05-11,Neutral,9,1,1,63248.95,7027.661111111111,251.604742,22.137125,229.46761700000002,9,100.0,100.0,27.956082444444444,6.001646,3.6280067416138926
2024-05-12,Greed,23,2,3,55179.56,2399.111304347826,0.0,19.312829,-19.312829,0,26.08695652173913,,,,-0.34999969191490476
2024-05-13,Greed,28,2,2,193118.9,6897.103571428571,2136.853859,67.591599,2069.26226,10,46.42857142857143,100.0,213.68538589999997,78.1262265,10.714965029316136
2024-05-14,Greed,23,1,1,145853.4,6341.452173913043,1150.5233050000002,51.048685,1099.4746200000002,4,17.391304347826086,100.0,287.63082625000004,165.48699000000002,7.5382172784453445
2024-05-15,Greed,36,1,1,234922.57,6525.626944444444,948.970582,82.222887,866.747695,17,47.22222222222222,100.0,55.821798941176475,34.209,3.6895037160541877
2024-05-16,Greed,27,2,2,162620.96,6022.998518518518,214.5898,56.91732,157.67248,5,29.629629629629626,100.0,42.91796,61.492384,0.9695704661932879
2024-05-18,Greed,25,1,1,126303.14,5052.1256,3522.3946610000003,44.206092,3478.188569,16,64.0,100.0,220.14966631250002,66.5377775,27.53841724758387
2024-05-19,Greed,8,1,1,29998.09,3749.76125,0.0,10.499327000000001,-10.499327000000001,0,0.0,,,,-0.3499998499904494
2024-05-20,Greed,10,2,2,38124.75,3812.475,-74.818442,13.343662,-88.162104,3,30.0,0.0,-24.939480666666668,-14.527275,-2.3124637932052012
2024-05-21,Extreme Greed,125,2,3,1100948.59,8807.588720000002,7289.397571999999,385.331944,6904.065627999999,25,20.0,56.00000000000001,291.57590287999994,5.610448,6.271015459495705
2024-05-22,Extreme Greed,6,1,1,44995.29,7499.215,0.0,15.748349000000001,-15.748349000000001,0,0.0,,,,-0.3499999444386291
2024-05-23,Extreme Greed,325,3,7,401850.6,1236.4633846153845,413.347329,113.43007899999999,299.91725,156,47.69230769230769,92.94871794871796,2.649662365384615,1.924407,0.7463401821472957
2024-05-24,Greed,2,1,1,50811.899999999994,25405.949999999997,821.949278,17.784165,804.165113,2,100.0,100.0,410.974639,410.974639,15.826314564108015
2024-05-25,Extreme Greed,16,2,2,29991.129999999997,1874.4456249999998,14.126038999999999,10.246887000000001,3.879151999999998,5,31.25,100.0,2.8252078,2.84427,0.12934330917174505
2024-05-26,Extreme Greed,16,2,4,53976.67,3373.541875,778.6839,18.768190999999998,759.915709,4,25.0,100.0,194.670975,20.125114999999997,14.078595604360181
2024-05-27,Greed,251,1,5,151115.72,602.0546613545816,1129.35587,45.832466,1083.523404,93,37.05179282868526,96.7741935483871,12.143611505376345,8.162477,7.170156777865334
2024-05-29,Greed,164,2,15,84268.76,513.8339024390243,277.791953,36.876599,240.915354,71,43.292682926829265,95.77464788732394,3.912562718309859,2.020662,2.85889283288374
2024-05-30,Greed,7,1,5,2838.09,405.4414285714286,20.951433,0.993326,19.958107,5,71.42857142857143,100.0,4.1902866,2.57278,7.032231888347444
2024-05-31,Greed,13,1,3,3636.14,279.70307692307694,25.35812,1.272646,24.085473999999998,4,30.76923076923077,100.0,6.33953,5.32155,6.623912720632319
2024-06-01,Greed,25,1,3,12834.62,513.3848,91.510419,4.492106,87.018313,9,36.0,100.0,10.167824333333334,10.477181,6.779968008402275
2024-06-02,Greed,93,1,2,29464.51,316.822688172043,192.906947,7.792912,185.114035,34,36.55913978494624,100.0,5.6737337352941175,4.36428,6.28261033358437
2024-06-03,Greed,70,1,2,21466.86,306.66942857142857,562.808208,5.378086,557.430122,44,62.857142857142854,100.0,12.791095636363638,7.4429669999999994,25.967007843718175
2024-06-04,Greed,53,1,4,24243.41,457.42283018867926,52.211438,7.432953,44.778485,25,47.16981132075472,100.0,2.08845752,1.06284,1.8470374010916784
2024-06-05,Extreme Greed,54,1,3,25350.77,469.4587037037037,56.055506,7.1040600000000005,48.951446000000004,17,31.48148148148148,94.11764705882352,3.297382705882353,2.58765,1.9309648582666328
2024-06-06,Extreme Greed,234,1,5,137557.76,587.8536752136753,274.173187,37.079424,237.093763,102,43.58974358974359,98.0392156862745,2.6879724215686274,1.493881,1.7235942414299272
2024-06-07,Extreme Greed,440,3,6,1098588.76,2496.7926363636366,8902.467416,372.962664,8529.504751999999,178,40.45454545454545,98.87640449438202,50.013861887640445,4.0189924999999995,7.764056089559845
2024-06-08,Greed,29,2,4,97351.88,3356.961379310345,129.13883900000002,34.073137,95.065702,8,27.586206896551722,100.0,16.142354875000002,6.989605000000001,0.9765163446252912
2024-06-09,Extreme Greed,17,2,2,22410.22,1318.2482352941176,0.0,7.515775,-7.515775,0,0.0,,,,-0.3353726558686171
2024-06-10,Greed,53,2,3,46587.93,879.0175471698113,31.266804999999998,14.696328000000001,16.570477,18,33.9622641509434,100.0,1.737044722222222,0.58282,0.35568176134891594
